ID,EID,MaxSpeed,Capacity,Lanes,InRoundabout,Length,Xdata,Ydata,FRC
1367,1632,14.0,0,1,0,23.32,0.76386087782947,0.417786202307477,7
682,655,22.6993732452393,0,1,0,46.59,0.155709092722117,0.886771333384106,5
7598,11578,22.6993732452393,0,1,0,12.63,0.18009583808981,0.884645376158103,5
1771,2188,20.1,0,1,0,59.15,0.171419814213871,0.856726010590809,7
1560,1886,18.0,0,1,0,58.92,0.26593955068278,0.921025160981787,6
1582,1921,20.1,0,1,0,52.48,0.371070837999701,0.624090198316697,7
685,661,20.7,0,1,0,49.98,0.388964300387874,0.589450460428271,6
5194,7465,20.8493728637695,0,1,0,27.12,0.840617884882321,0.481007576642495,3
697,676,23.2133884429932,0,1,0,94.51,0.861387087985486,0.433681941455318,3
698,677,20.8493728637695,0,1,0,94.16,0.861387087985486,0.433681941455318,3
3061,3997,23.2133884429932,0,1,0,3.91,0.880576685651968,0.391782520316293,3
3615,4851,20.1,0,1,0,74.07,0.885183230299327,0.428950171437786,7
4838,6888,20.1,0,1,0,37.4,0.672501129970833,0.753388418366961,7
1567,1896,23.0,0,1,0,23.55,0.676399839728641,0.730585568598857,7
6620,9907,19.7928867340088,0,1,0,39.63,0.277771644945935,0.340503436516751,6
1495,1800,22.0,0,1,0,41.6,0.282657902312459,0.321432754031708,7
3056,3991,23.9979114532471,0,1,0,69.41,0.245852993796833,0.303440190826441,6
725,719,20.9895401000977,0,1,0,12.25,0.396595610812067,0.919047161843909,7
4436,6225,20.9895401000977,0,1,0,5.03,0.399410857560902,0.92716952193644,7
3357,4432,20.1,0,1,0,59.19,0.418714262268387,0.91553059226629,7
730,729,20.1,0,1,0,170.35,0.590775990366359,0.713255194552678,7
2670,3436,23.0,0,1,0,14.91,0.64122626336954,0.676147125459949,7
743,745,23.9623432159424,0,1,0,29.33,0.668249135329794,0.859568014520507,5
3153,4133,19.2112979888916,0,1,0,43.8,0.673588546111986,0.880575844331252,3
5196,7467,23.2133884429932,0,1,0,12.34,0.685184763887738,0.853600569124239,3
8313,13011,13.0,0,1,0,22.32,0.691129781970154,0.865061345178003,4
799,820,23.9623432159424,0,1,0,99.67,0.617430045195233,0.860972408944833,5
2214,2824,20.1,0,1,0,68.4,0.641688064534604,0.830655003604108,7
6133,9050,20.1,0,1,0,44.44,0.740800859283733,0.888955798020912,7
5668,8290,19.0,0,1,0,26.35,0.73973974320326,0.868568823409022,6
784,797,27.0,0,1,0,32.55,0.101483270320358,0.648364935030902,6
3216,4207,26.0,0,1,0,35.9,0.129437931491613,0.656651617635134,6
1559,1885,6.7,0,1,0,11.14,0.11431782715165,0.636756576800682,7
787,804,20.9895401000977,0,1,0,10.07,0.393030370597958,0.910271074695291,7
788,806,19.5836811065674,0,1,0,52.92,0.436983123180734,0.416421266369728,5
1480,1782,21.884937286377,0,1,0,24.47,0.464901469040744,0.432048183596958,5
2178,2767,18.7489547729492,0,1,0,8.42,0.461920126627091,0.419981123014465,6
5073,7266,22.6694564819336,0,1,0,5.93,0.414646049841313,0.416287572501989,6
789,807,21.884937286377,0,1,0,53.29,0.436983123180734,0.416421266369728,5
790,808,19.0,0,1,0,169.23,0.439983978499337,0.342142547033056,6
5424,7866,19.5836811065674,0,2,0,11.42,0.408269086023094,0.409723436501608,5
791,809,22.6694564819336,0,1,0,168.76,0.439983978499337,0.342142547033056,6
4036,5531,20.1,0,1,0,10.08,0.468699079380853,0.279550085486209,7
7290,11059,18.7489547729492,0,1,0,84.63,0.47856534245785,0.23520428721259,6
794,814,17.8329849243164,0,1,0,19.22,0.574906608199877,0.479108894905617,6
1308,1558,21.9790802001953,0,1,0,17.31,0.570978385055907,0.495683784191483,6
3700,4973,17.8329849243164,0,1,0,5.75,0.578211840936102,0.466894677091075,6
795,815,21.9790802001953,0,1,0,19.57,0.574906608199877,0.479108894905617,6
2042,2589,17.824634552002,0,1,0,16.12,0.580911968527675,0.647206897708164,7
797,817,21.0,0,1,0,23.82,0.601191902624877,0.63763330539137,7
955,1050,20.1,0,1,0,21.81,0.355240396719773,0.768795733609507,7
1704,2104,20.9895401000977,0,1,0,45.27,0.353719945272698,0.792386919565198,7
861,918,18.0,0,1,0,91.22,0.685847710905738,0.576058298306276,7
1178,1366,23.0,0,1,0,81.27,0.644498950317698,0.595749443734385,7
3726,5007,19.0,0,1,0,147.19,0.747543524250793,0.568482093189941,6
4650,6590,25.0,0,1,0,26.06,0.690575776186538,0.533310967122961,6
897,965,20.9895401000977,0,1,0,38.89,0.375278699345082,0.859168346672848,7
3152,4132,18.6422595977783,0,1,0,43.99,0.673588546111986,0.880575844331252,3
910,981,20.1,0,1,0,70.04,0.686696804900873,0.923257350079895,7
909,979,19.2112979888916,0,1,0,92.67,0.65045755680955,0.940512325197885,3
930,1010,20.1,0,1,0,89.55,0.137319807124101,0.830529383669041,7
1446,1736,16.9372386932373,0,1,0,27.1,0.104883120438519,0.844894148248354,7
4014,5501,6.7,0,1,0,55.2,0.169108066337143,0.802783803785499,7
8267,12892,20.1,0,1,0,14.03,0.177460788983397,0.828767484814621,7
941,1024,20.1,0,1,0,8.2,0.775517390186097,0.206680181624309,7
7528,11458,20.1,0,1,0,70.7,0.768062840861248,0.167922725729249,7
6199,9166,20.1,0,1,0,59.17,0.742348616445225,0.202822083870601,7
942,1025,20.1,0,1,0,7.97,0.775517390186097,0.206680181624309,7
6060,8915,20.1,0,1,0,7.11,0.785372264133782,0.208736603329382,7
6273,9294,20.1,0,1,0,50.81,0.777549069538291,0.230803617903361,7
4595,6514,20.1,0,1,0,12.6,0.367251987084574,0.763796841446323,7
956,1052,26.0,0,1,0,65.14,0.294545822106504,0.672809412290464,6
1638,2006,27.0,0,1,0,40.58,0.253190445552098,0.669779395230702,6
