EndNode1,EndNode2,TurnID,DualNode,Weight
292,192,159763,95,1.0
292,193,159764,95,1.0
293,295,166537,140,1.0
295,112,120613,56,1.0
295,113,120614,56,1.0
296,292,158280,139,1.0
296,294,158281,139,0.0
297,300,174861,142,1.0
298,426,101391,213,1.0
298,427,101392,213,1.0
298,428,101390,213,0.0
299,493,147888,248,1.0
299,495,147889,248,1.0
300,380,145703,186,1.0
301,302,185648,144,1.0
303,718,197711,398,1.0
303,719,197712,398,0.6
303,720,197713,398,1.0
304,28,135511,13,1.0
304,30,135512,13,1.0
305,365,191552,179,1.0
305,366,191551,179,0.0
306,35,154038,17,1.0
306,36,154039,17,1.0
307,748,197912,407,1.0
307,750,197913,407,1.0
308,310,109383,149,1.0
309,647,156954,343,1.0
310,325,109385,156,1.0
311,314,149437,151,1.0
312,760,198505,414,1.0
312,762,198506,414,3.33333333333333
312,763,198504,414,3.33333333333333
314,649,145688,345,1.0
315,60,127338,28,1.0
316,408,194132,202,1.0
318,160,100343,79,1.0
318,161,100344,79,1.0
319,8,118178,5,1.0
320,322,179621,155,1.0
320,324,179622,155,1.0
321,511,186347,257,1.0
321,513,186348,257,1.0
322,221,179620,107,1.0
323,319,144510,154,1.0
323,321,144511,154,1.0
324,534,195701,269,1.0
325,486,145114,244,1.0
325,487,145115,244,0.3
326,498,156736,250,1.0
326,499,156735,250,1.0
328,25,136114,12,1.0
328,27,136115,12,1.0
329,331,175641,159,1.0
330,459,165601,232,1.0
330,461,165602,232,1.0
331,456,175536,230,1.0
331,457,175537,230,1.0
333,334,106988,162,1.0
333,335,106989,162,0.3
334,400,106987,197,1.0
335,671,134231,364,1.0
336,722,197728,399,1.0
336,723,197729,399,0.5
337,80,144850,39,1.0
338,341,166837,165,1.0
339,745,197869,406,1.0
339,747,197868,406,1.0
340,337,150690,164,1.0
340,339,150689,164,1.0
341,465,157970,234,1.0
341,466,157971,234,1.0
341,467,157972,234,1.0
342,56,172710,26,1.0
343,232,120945,112,1.0
344,282,136353,135,1.0
344,283,136352,135,1.0
346,172,116504,86,1.0
346,173,116505,86,1.0
346,175,116506,86,1.0
347,186,189064,93,1.0
347,187,189065,93,1.0
347,188,189066,93,1.0
348,355,184239,171,1.0
349,15,123220,8,1.0
349,16,123221,8,1.0
349,17,123222,8,1.0
350,66,159460,31,1.0
351,352,183452,170,1.0
351,353,183453,170,1.0
352,318,129390,153,1.0
353,442,156265,222,1.0
354,346,116514,167,1.0
354,347,116513,167,1.0
355,685,143527,374,1.0
357,721,197733,399,1.0
357,723,197732,399,1.0
358,609,159047,316,1.0
359,360,171974,176,1.0
359,361,171975,176,1.0
360,387,112622,190,1.0
361,429,151443,214,1.0
362,354,184240,171,1.0
362,355,184241,171,1.0
363,364,191546,179,1.0
363,365,191545,179,1.0
364,304,135519,146,1.0
365,432,137831,217,1.0
365,433,137830,217,1.0
367,370,168844,181,1.0
367,372,168845,181,1.0
368,449,138623,227,1.0
368,451,138622,227,1.0
369,537,156412,272,1.0
370,261,115689,126,1.0
370,262,115688,126,1.0
371,368,167332,180,1.0
371,369,167333,180,1.0
372,448,158408,226,1.0
373,50,125833,23,1.0
374,101,168166,50,1.0
375,545,175727,277,1.0
376,378,120471,184,1.0
377,462,123937,233,1.0
377,463,123938,233,1.0
378,227,151440,110,1.0
378,228,151441,110,1.0
379,738,197843,404,1.0
379,739,197840,404,1.0
379,741,197844,404,1.0
380,673,145702,366,1.0
381,70,138822,33,1.0
381,71,138823,33,1.0
382,385,164946,188,1.0
383,571,142354,295,1.0
383,572,142355,295,1.0
384,381,106043,187,1.0
384,383,106042,187,1.0
385,544,160907,276,1.0
386,158,138426,78,1.0
386,159,138425,78,1.0
387,376,180514,183,1.0
387,377,180516,183,1.0
388,211,104145,104,1.0
388,213,104146,104,1.0
389,553,113713,281,1.0
390,101,168168,50,1.0
391,6,141478,4,1.0
391,7,141477,4,1.0
392,277,184200,132,1.0
393,107,147379,53,1.0
394,288,187756,137,1.0
395,523,178546,263,1.0
396,555,121176,283,1.0
396,557,121175,283,1.0
397,146,124749,72,1.0
397,147,124750,72,1.0
398,206,128240,101,1.0
399,400,106986,197,1.0
400,290,102248,138,1.0
400,291,102249,138,0.3
401,20,116529,10,1.0
401,21,116530,10,0.333333333333333
402,403,137770,199,1.0
403,692,169760,379,1.0
403,693,169759,379,1.0
405,139,128983,69,1.0
405,140,128982,69,1.0
406,407,194131,202,1.0
407,315,146580,152,1.0
407,317,146579,152,1.0
408,405,190818,201,1.0
409,612,132577,319,1.0
409,613,132576,319,1.0
410,363,138807,178,1.0
411,412,107182,205,1.0
412,632,167350,334,1.0
413,663,163420,357,1.0
414,297,147885,141,1.0
414,298,147886,141,1.0
414,299,147887,141,1.0
