EndNode1,EndNode2,ID,EID,MaxSpeed,Capacity,Lanes,InRoundbaout,Length
42,429,8363,13134,30,0,1,0,20.71
43,2,2102,2673,30,0,1,0,47.09
43,44,511,413,30,0,1,0,63.66
44,290,7235,10967,30,0,1,0,5.59
45,46,513,416,30,0,1,0,81.37
45,184,7056,10653,30,0,1,0,13.62
46,110,821,859,30,0,1,0,58.65
46,280,2864,3717,30,0,1,0,47.81
47,48,514,418,30,0,1,0,72.58
47,103,6325,9379,30,0,1,0,34.7
47,330,3960,5404,30,0,1,0,74.65
48,47,515,419,30,0,1,0,72.08
48,249,7869,12088,30,0,1,0,10.15
48,336,4167,5753,30,0,1,0,9.23
49,260,2677,3451,30,0,1,0,32.16
50,51,522,431,30,0,1,0,44.04
51,153,1089,1236,30,0,1,0,145.11
51,270,2634,3386,30,0,1,0,33.29
52,326,5128,7362,50,0,2,0,30.33
52,327,525,438,30,0,1,0,129.64
53,194,1497,1804,30,0,1,0,58.06
53,414,8281,12924,30,0,1,0,5.99
54,4,6052,8905,30,0,1,0,36.35
54,55,554,470,30,0,1,0,61.71
54,122,5559,8115,30,0,1,0,56.68
55,207,1607,1967,30,0,1,0,50.91
56,57,558,476,30,0,1,0,36.87
56,400,4891,6972,30,0,1,0,77.13
57,401,3929,5353,30,0,1,0,8.99
58,59,559,478,30,0,1,0,45.95
59,310,4900,6987,30,0,1,0,5.46
60,61,562,484,30,0,1,0,104.58
60,130,3562,4772,30,0,1,0,2.04
60,243,2082,2644,30,0,1,0,52.05
61,60,563,485,30,0,1,0,104.88
61,126,3755,5051,30,0,1,0,97.16
61,221,1893,2369,30,0,1,0,73.56
62,63,564,486,30,0,1,0,18.18
62,399,5688,8315,30,0,1,0,16.76
63,62,565,487,30,0,1,0,18.09
63,257,2299,2942,30,0,1,0,41.26
63,406,1184,1377,30,0,1,0,89.19
64,65,570,494,30,0,1,0,87.58
64,71,591,524,30,0,2,0,45.12
64,94,1438,1723,30,0,1,0,66.21
65,64,571,495,30,0,2,0,87.69
65,111,1217,1425,30,0,1,0,40.34
65,399,1068,1206,30,0,1,0,45.38
66,67,572,496,30,0,1,0,84.12
67,87,1022,1145,30,0,1,0,85.17
67,136,2313,2961,30,0,1,0,73.95
68,27,575,501,50,0,2,0,26.41
69,201,6137,9054,30,0,1,0,10.3
69,275,2752,3551,30,0,1,0,100.7
69,446,578,504,30,0,1,0,44.81
70,402,580,507,50,0,2,0,10.69
71,64,592,525,30,0,1,0,46.09
71,74,1589,1930,30,0,1,0,92.92
71,135,1524,1843,30,0,1,0,46.64
71,460,4691,6644,30,0,2,0,106.35
72,73,595,529,30,0,1,0,87.93
72,425,4350,6075,30,0,1,0,46.57
73,101,775,784,30,0,1,0,61.9
74,71,1590,1931,30,0,2,0,93.22
74,75,596,530,30,0,1,0,34.49
74,94,711,697,30,0,1,0,58.39
75,74,597,531,30,0,1,0,34.74
75,278,3581,4793,30,0,1,0,31.59
76,25,606,540,30,0,1,0,90.49
76,92,5193,7464,30,0,1,0,27.18
77,42,3461,4604,30,0,1,0,69.06
77,248,5011,7168,30,0,1,0,99.29
78,88,4055,5570,30,0,1,0,41.39
78,416,624,562,30,0,1,0,93.94
79,80,631,576,30,0,1,0,3.24
79,192,1482,1786,30,0,1,0,115.85
80,339,6770,10190,30,0,1,0,12.58
80,370,7082,10704,30,0,1,0,25.25
81,398,7259,11010,50,0,2,0,62.38
82,83,653,610,30,0,2,0,14.96
82,217,2121,2696,30,0,1,0,68.09
83,105,5607,8199,30,0,2,0,5.44
83,431,7684,11752,30,0,1,0,30.23
84,19,6769,10189,30,0,1,0,5.64
84,85,663,627,30,0,1,0,180.41
85,370,5493,7990,30,0,1,0,10.07
86,87,673,644,30,0,1,0,89.98
86,136,4240,5876,30,0,1,0,70.79
86,167,1384,1652,30,0,1,0,79.75
86,376,6425,9568,30,0,1,0,13.9
87,86,674,645,30,0,1,0,90.01
87,177,1367,1632,30,0,1,0,23.32
88,89,682,655,30,0,1,0,46.59
89,44,7598,11578,30,0,1,0,12.63
89,116,1771,2188,30,0,1,0,59.15
90,200,1560,1886,30,0,1,0,58.92
91,41,1582,1921,30,0,1,0,52.48
91,405,685,661,30,0,1,0,49.98
92,76,5194,7465,30,0,1,0,27.12
92,93,697,676,30,0,1,0,94.51
93,92,698,677,30,0,1,0,94.16
93,289,3061,3997,30,0,1,0,3.91
93,312,3615,4851,30,0,1,0,74.07
94,24,4838,6888,30,0,1,0,37.4
94,131,1567,1896,30,0,1,0,23.55
95,139,6620,9907,30,0,1,0,39.63
95,193,1495,1800,30,0,1,0,41.6
